360 -0.286667 -2.28667 2.64667
361 -0.0833333 -2.61667 2.78333
362 0.12 -2.94667 2.92
363 0.323333 -3.27667 3.05667
364 0.526667 -3.60667 3.19333
365 0.73 -3.93667 3.33
366 -2.8 2.175 1.1
367 -2.6 1.85 1.2
368 -2.4 1.525 1.3
369 -2.2 1.2 1.4
370 -2 0.875 1.5
371 -1.8 0.55 1.6
372 -1.6 0.225 1.7
373 -1.4 -0.1 1.8
374 -1.2 -0.425 1.9
375 -1 -0.75 2
376 -0.8 -1.075 2.1
377 -0.6 -1.4 2.2
378 -0.4 -1.725 2.3
379 -0.2 -2.05 2.4
380 0 -2.375 2.5
381 0.2 -2.7 2.6
382 0.4 -3.025 2.7
383 0.6 -3.35 2.8
384 0.8 -3.675 2.9
385 -2.67 2.34667 1.33
386 -2.47333 2.02667 1.39333
387 -2.27667 1.70667 1.45667
388 -2.08 1.38667 1.52
389 -1.88333 1.06667 1.58333
390 -1.68667 0.746667 1.64667
391 -1.49 0.426667 1.71
392 -1.29333 0.106667 1.77333
393 -1.09667 -0.213333 1.83667
394 -0.9 -0.533333 1.9
395 -0.703333 -0.853333 1.96333
396 -0.506667 -1.17333 2.02667
397 -0.31 -1.49333 2.09
398 -0.113333 -1.81333 2.15333
399 0.0833333 -2.13333 2.21667
400 0.28 -2.45333 2.28
401 0.476667 -2.77333 2.34333
402 0.673333 -3.09333 2.40667
403 0.87 -3.41333 2.47
404 -2.54 2.51833 1.56
405 -2.34667 2.20333 1.58667
406 -2.15333 1.88833 1.61333
407 -1.96 1.57333 1.64
408 -1.76667 1.25833 1.66667
409 -1.57333 0.943333 1.69333
410 -1.38 0.628333 1.72
411 -1.18667 0.313333 1.74667
412 -0.993333 -0.00166667 1.77333
413 -0.8 -0.316667 1.8
414 -0.606667 -0.631667 1.82667
415 -0.413333 -0.946667 1.85333
416 -0.22 -1.26167 1.88
417 -0.0266667 -1.57667 1.90667
418 0.166667 -1.89167 1.93333
419 0.36 -2.20667 1.96
420 0.553333 -2.52167 1.98667
421 0.746667 -2.83667 2.01333
422 0.94 -3.15167 2.04
423 -2.41 2.69 1.79
424 -2.22 2.38 1.78
425 -2.03 2.07 1.77
426 -1.84 1.76 1.76
427 -1.65 1.45 1.75
428 -1.46 1.14 1.74
429 -1.27 0.83 1.73
430 -1.08 0.52 1.72
431 -0.89 0.21 1.71
432 -0.7 -0.1 1.7
433 -0.51 -0.41 1.69
434 -0.32 -0.72 1.68
435 -0.13 -1.03 1.67
436 0.06 -1.34 1.66
437 0.25 -1.65 1.65
438 0.44 -1.96 1.64
439 0.63 -2.27 1.63
440 0.82 -2.58 1.62
441 1.01 -2.89 1.61
442 -2.28 2.86167 2.02
443 -2.09333 2.55667 1.97333
444 -1.90667 2.25167 1.92667
445 -1.72 1.94667 1.88
446 -1.53333 1.64167 1.83333
447 -1.34667 1.33667 1.78667
448 -1.16 1.03167 1.74
449 -0.973333 0.726667 1.69333
450 -0.786667 0.421667 1.64667
451 -0.6 0.116667 1.6
452 -0.413333 -0.188333 1.55333
453 -0.226667 -0.493333 1.50667
454 -0.04 -0.798333 1.46
455 0.146667 -1.10333 1.41333
456 0.333333 -1.40833 1.36667
457 0.52 -1.71333 1.32
458 0.706667 -2.01833 1.27333
459 0.893333 -2.32333 1.22667
460 1.08 -2.62833 1.18
461 -2.15 3.03333 2.25
462 -1.96667 2.73333 2.16667
463 -1.78333 2.43333 2.08333
464 -1.6 2.13333 2
465 -1.41667 1.83333 1.91667
466 -1.23333 1.53333 1.83333
467 -1.05 1.23333 1.75
468 -0.866667 0.933333 1.66667
469 -0.683333 0.633333 1.58333
470 -0.5 0.333333 1.5
471 -0.316667 0.0333333 1.41667
472 -0.133333 -0.266667 1.33333
473 0.05 -0.566667 1.25
474 0.233333 -0.866667 1.16667
475 0.416667 -1.16667 1.08333
476 0.6 -1.46667 1
477 0.783333 -1.76667 0.916667
478 0.966667 -2.06667 0.833333
479 1.15 -2.36667 0.75
480 -2.02 3.205 2.48
481 -1.84 2.91 2.36
482 -1.66 2.615 2.24
483 -1.48 2.32 2.12
484 -1.3 2.025 2
485 -1.12 1.73 1.88
486 -0.94 1.435 1.76
487 -0.76 1.14 1.64
488 -0.58 0.845 1.52
489 -0.4 0.55 1.4
490 -0.22 0.255 1.28
491 -0.04 -0.04 1.16
492 0.14 -0.335 1.04
493 0.32 -0.63 0.92
494 0.5 -0.925 0.8
495 0.68 -1.22 0.68
496 0.86 -1.515 0.56
497 1.04 -1.81 0.44
498 1.22 -2.105 0.32
499 -1.89 3.37667 2.71
500 -1.71333 3.08667 2.55333
501 -1.53667 2.79667 2.39667
502 -1.36 2.50667 2.24
503 -1.18333 2.21667 2.08333
504 -1.00667 1.92667 1.92667
505 -0.83 1.63667 1.77
506 -0.653333 1.34667 1.61333
507 -0.476667 1.05667 1.45667
508 -0.3 0.766667 1.3
509 -0.123333 0.476667 1.14333
510 0.0533333 0.186667 0.986667
511 0.23 -0.103333 0.83
512 0.406667 -0.393333 0.673333
513 0.583333 -0.683333 0.516667
514 0.76 -0.973333 0.36
515 0.936667 -1.26333 0.203333
516 1.11333 -1.55333 0.0466667
517 1.29 -1.84333 -0.11
518 -1.76 3.54833 2.94
519 -1.58667 3.26333 2.74667
520 -1.41333 2.97833 2.55333
521 -1.24 2.69333 2.36
522 -1.06667 2.40833 2.16667
523 -0.893333 2.12333 1.97333
524 -0.72 1.83833 1.78
525 -0.546667 1.55333 1.58667
526 -0.373333 1.26833 1.39333
527 -0.2 0.983333 1.2
528 -0.0266667 0.698333 1.00667
529 0.146667 0.413333 0.813333
530 0.32 0.128333 0.62
531 0.493333 -0.156667 0.426667
532 0.666667 -0.441667 0.233333
533 0.84 -0.726667 0.04
534 1.01333 -1.01167 -0.153333
535 1.18667 -1.29667 -0.346667
536 1.36 -1.58167 -0.54
537 -1.63 3.72 3.17
538 -1.46 3.44 2.94
539 -1.29 3.16 2.71
540 -1.12 2.88 2.48
541 -0.95 2.6 2.25
542 -0.78 2.32 2.02
543 -0.61 2.04 1.79
544 -0.44 1.76 1.56
545 -0.27 1.48 1.33
546 -0.1 1.2 1.1
547 0.07 0.92 0.87
548 0.24 0.64 0.64
549 0.41 0.36 0.41
550 0.58 0.08 0.18
551 0.75 -0.2 -0.05
552 0.92 -0.48 -0.28
553 1.09 -0.76 -0.51
554 1.26 -1.04 -0.74
555 1.43 -1.32 -0.97
556 -1.5 3.89167 3.4
557 -1.33333 3.61667 3.13333
558 -1.16667 3.34167 2.86667
559 -1 3.06667 2.6
560 -0.833333 2.79167 2.33333
561 -0.666667 2.51667 2.06667
562 -0.5 2.24167 1.8
563 -0.333333 1.96667 1.53333
564 -0.166667 1.69167 1.26667
565 0 1.41667 1
566 0.166667 1.14167 0.733333
567 0.333333 0.866667 0.466667
568 0.5 0.591667 0.2
569 0.666667 0.316667 -0.0666667
570 0.833333 0.0416667 -0.333333
571 1 -0.233333 -0.6
572 1.16667 -0.508333 -0.866667
573 1.33333 -0.783333 -1.13333
574 1.5 -1.05833 -1.4
575 -1.37 4.06333 3.63
576 -1.20667 3.79333 3.32667
577 -1.04333 3.52333 3.02333
578 -0.88 3.25333 2.72
579 -0.716667 2.98333 2.41667
580 -0.553333 2.71333 2.11333
581 -0.39 2.44333 1.81
582 -0.226667 2.17333 1.50667
583 -0.0633333 1.90333 1.20333
584 0.1 1.63333 0.9
585 0.263333 1.36333 0.596667
586 0.426667 1.09333 0.293333
587 0.59 0.823333 -0.01
588 0.753333 0.553333 -0.313333
589 0.916667 0.283333 -0.616667
590 1.08 0.0133333 -0.92
591 1.24333 -0.256667 -1.22333
592 1.40667 -0.526667 -1.52667
593 1.57 -0.796667 -1.83
594 -1.24 4.235 3.86
595 -1.08 3.97 3.52
596 -0.92 3.705 3.18
597 -0.76 3.44 2.84
598 -0.6 3.175 2.5
599 -0.44 2.91 2.16
600 -0.28 2.645 1.82
601 -0.12 2.38 1.48
602 0.04 2.115 1.14
603 0.2 1.85 0.8
604 0.36 1.585 0.46
605 0.52 1.32 0.12
606 0.68 1.055 -0.22
607 0.84 0.79 -0.56
608 1 0.525 -0.9
609 1.16 0.26 -1.24
610 1.32 -0.005 -1.58
611 1.48 -0.27 -1.92
612 1.64 -0.535 -2.26
613 -1.11 4.40667 4.09
614 -0.953333 4.14667 3.71333
615 -0.796667 3.88667 3.33667
616 -0.64 3.62667 2.96
617 -0.483333 3.36667 2.58333
618 -0.326667 3.10667 2.20667
619 -0.17 2.84667 1.83
620 -0.0133333 2.58667 1.45333
621 0.143333 2.32667 1.07667
622 0.3 2.06667 0.7
623 0.456667 1.80667 0.323333
624 0.613333 1.54667 -0.0533333
625 0.77 1.28667 -0.43
626 0.926667 1.02667 -0.806667
627 1.08333 0.766667 -1.18333
628 1.24 0.506667 -1.56
629 1.39667 0.246667 -1.93667
630 1.55333 -0.0133333 -2.31333
631 1.71 -0.273333 -2.69
632 -0.98 4.57833 4.32
633 -0.826667 4.32333 3.90667
634 -0.673333 4.06833 3.49333
635 -0.52 3.81333 3.08
636 -0.366667 3.55833 2.66667
637 -0.213333 3.30333 2.25333
638 -0.06 3.04833 1.84
639 0.0933333 2.79333 1.42667
640 0.246667 2.53833 1.01333
641 0.4 2.28333 0.6
642 0.553333 2.02833 0.186667
643 0.706667 1.77333 -0.226667
644 0.86 1.51833 -0.64
645 1.01333 1.26333 -1.05333
646 1.16667 1.00833 -1.46667
647 1.32 0.753333 -1.88
648 1.47333 0.498333 -2.29333
649 1.62667 0.243333 -2.70667
650 1.78 -0.0116667 -3.12
